"Source:","D:\Destination-SPACE-Files\development\hardware\weather-featherwing-hw\weather-featherwing.kicad_sch"
"Date:","1/27/2024 2:20:45 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","D:\OneDrive\work\destinationSpace\development\hardware\.sharedResources\kicad\Destination_Space_Master\bomGenerator/ds_bom_csv_grouped_by_value.py"
"Component Count:","25"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Package","Power Rating","Tolerance","Voltage Rating","mpn","populate"
"1","1","C1","10uF","lib_sch:c_small","lib_fp:CAPC160X80X88L35N","datasheets/AVX-CX5R-KGM-MLCC.pdf","KYOCERA AVX","0603","","20%","6.3V","KGM15CR50J106MT","1"
"2","3","C2, C3, C4","100nF","lib_sch:c_small","lib_fp:CAPC160X80X88L35N","datasheets/AVX-CX5R-KGM-MLCC.pdf","KYOCERA AVX","0603","","10%","50V","KGM15AR51H104KT","1"
"3","1","D1","IN-PI15TAT","lib_sch:NeoPixel_THT","lib_fp:IN-PI15TAT5R5G5B","datasheets/IN-PI15TAT5R5G5B.pdf","Inolux","","","","","IN-PI15TAT5R5G5B","1"
"4","1","J1","Feather_Header_01x16","lib_sch:Conn_01x16_Pin","lib_fp:conn_01x16_254","datasheets/Sullins-xxxCxxxSxxN-RC.pdf","Sullins Connector Solutions","","","","","PREC016SAAN-RC","0"
"5","1","J2","Feather_Header_01x12","lib_sch:Conn_01x12_Pin","lib_fp:conn_01x12_254","datasheets/Sullins-xxxCxxxSxxN-RC.pdf","Sullins Connector Solutions","","","","","PREC012SAAN-RC","0"
"6","1","J3","MEM2061","lib_sch:Micro_SD_Card_Det1","lib_fp:MEM2061","datasheets/GCT-MEM2061.pdf","GCT","","","","","MEM2061-01-188-00-A","1"
"7","1","J4","STEMMA-QT","lib_sch:STEMMA-QT","lib_fp:JST_SH_SM04B-SRSS-TB","~","JST Sales America Inc.","","","","","SM04B-SRSS-TB","1"
"8","9","R1, R2, R3, R4, R5, R6, R7, R10, R11","10K","lib_sch:r_small","lib_fp:RESC160X80X55L30N","datasheets/Vishay-Dale-DCRCWe3.pdf","Vishay Dale","0603","100mW","5%","","CRCW060310K0JNEB","1"
"9","2","R8, R9","4K7","lib_sch:r_small","lib_fp:RESC160X80X55L30N","datasheets/Vishay-Dale-DCRCWe3.pdf","Vishay Dale","0603","100mW","5%","","CRCW06034K70JNEA","1"
"10","1","R12","470R","lib_sch:r_small","lib_fp:RESC160X80X55L30N","datasheets/Vishay-Dale-DCRCWe3.pdf","Vishay Dale","0603","100mW","5%","","CRCW0603470RJNEB","1"
"11","1","SW1","JS102011SAQN","lib_sch:SW_SPDT","lib_fp:JS102011SAQN","datasheets/CK-JS-SERIES.pdf","C&K","","","","","JS102011SAQN","1"
"12","1","U2","LPS22HB","lib_sch:LPS2x","DS-Master-Sensors-SMD:PQFN10P50_200X200X80L27X25N","https://www.st.com/resource/en/datasheet/lps22hh.pdf","STMicroelectronics","","","","","LPS2x","1"
"13","1","U3","SHT41","lib_sch:SHT4x","DS-Master-Sensors-SMD:SHT4x","https://sensirion.com/media/documents/33FD6951/640B22DB/Datasheet_SHT4x.pdf","Sensirion","","","","","SHT41-AD1B-R3","1"
"14","1","U4","11AA010","lib_sch:11AAxxx","lib_fp:SOT95P237X112-3N","datasheets/Microchip-11AAxxx_11LCxxx.pdf","Microchip","","","","","11AA010T-I/TT","1"
